"Date";"Time";"Raw_Time";"Latitude";"Longitude";"Altitude";"Sats";"Sat_Speed";"Precision"
"160220";"11:05:24";"10052400";"48.220.490";"16.374.988";"170.00";"4";"2.1113";"4.46"
"160220";"11:05:46";"10054600";"48.220.490";"16.374.988";"170.00";"4";"2.1113";"4.46"
"160220";"11:27:56";"10275600";"48.220.273";"16.375.313";"164.10";"3";"10.2230";"20.53"
"160220";"11:27:59";"10275900";"48.220.554";"16.375.062";"163.00";"4";"1.6112";"1.82"
"160220";"11:28:02";"10280200";"48.220.545";"16.375.076";"161.60";"5";"0.2037";"1.82"
"160220";"11:28:05";"10280500";"48.220.561";"16.375.045";"162.00";"5";"0.9075";"1.48"
"160220";"11:28:08";"10280800";"48.220.559";"16.375.035";"162.80";"5";"0.0741";"1.48"
"160220";"11:28:11";"10281100";"48.220.558";"16.375.025";"163.80";"5";"0.1111";"1.48"
"160220";"11:28:14";"10281400";"48.220.552";"16.375.024";"162.20";"5";"0.0185";"1.48"
"160220";"11:28:17";"10281700";"48.220.548";"16.375.028";"162.40";"5";"0.3519";"1.48"
"160220";"11:28:20";"10282000";"48.220.542";"16.375.031";"163.40";"5";"1.3705";"1.48"
"160220";"11:28:41";"10284100";"48.220.592";"16.374.925";"159.60";"5";"3.5558";"1.83"
"160220";"11:28:44";"10284400";"48.220.578";"16.374.956";"157.90";"5";"0.4815";"1.83"
"160220";"11:28:47";"10284700";"48.220.580";"16.374.963";"158.70";"4";"0.4630";"1.83"
"160220";"11:28:50";"10285000";"48.220.585";"16.374.957";"158.60";"4";"0.5741";"1.83"
"160220";"11:28:53";"10285300";"48.220.590";"16.374.949";"158.60";"4";"1.2594";"1.83"
"160220";"11:28:56";"10285600";"48.220.595";"16.374.941";"158.40";"4";"1.2408";"1.83"
"160220";"11:28:59";"10285900";"48.220.598";"16.374.936";"158.40";"4";"0.6667";"1.83"
"160220";"11:29:32";"10293200";"48.220.580";"16.374.964";"157.40";"5";"0.0741";"1.49"
"160220";"11:29:32";"10293200";"48.220.580";"16.374.964";"157.40";"5";"0.0741";"1.49"
"160220";"11:29:41";"10294100";"48.220.581";"16.374.962";"158.70";"4";"0.2963";"1.83"
"160220";"11:29:41";"10294100";"48.220.581";"16.374.962";"158.70";"4";"0.2963";"1.83"
"160220";"11:29:41";"10294100";"48.220.581";"16.374.962";"158.70";"4";"0.2963";"1.83"
